Name,Bullet,MuzzleVelocity,BarrelTwist,BoreDiameter,SightHeight,WindSpeed,WindAngle,Altitude,Pressure,Temperature,Humidity,ShootingAngle,BC_G1,BC_G7
B2_wind_01,HORNADY 30 CAL 220 GR ELD-X,2600,7.00,0.308,1.50,5,90,0,29.92,59,50,0,0.650,0.325
B2_wind_02,HORNADY 6.5 MM 147 GR ELD MATCH,2700,8.00,0.264,1.50,10,90,0,29.92,59,50,0,0.697,0.351
B2_wind_03,HORNADY 22 CAL 75 GR BTHP,2790,8.00,0.224,1.50,15,90,0,29.92,59,50,0,0.395,
B2_wind_04,HORNADY 30 CAL 220 GR ELD-X,2600,7.00,0.308,1.50,20,90,0,29.92,59,50,0,0.650,0.325
B2_wind_05,HORNADY 6.5 MM 147 GR ELD MATCH,2700,8.00,0.264,1.50,10,45,0,29.92,59,50,0,0.697,0.351
B2_wind_06,HORNADY 22 CAL 75 GR BTHP,2790,8.00,0.224,1.50,10,135,0,29.92,59,50,0,0.395,
B2_wind_07,HORNADY 30 CAL 220 GR ELD-X,2600,7.00,0.308,1.50,15,60,0,29.92,59,50,0,0.650,0.325
B2_wind_08,HORNADY 6.5 MM 147 GR ELD MATCH,2700,8.00,0.264,1.50,15,30,0,29.92,59,50,0,0.697,0.351
B2_wind_09,HORNADY 22 CAL 75 GR BTHP,2790,8.00,0.224,1.50,20,90,0,29.92,59,50,0,0.395,
B2_wind_10,HORNADY 30 CAL 220 GR ELD-X,2600,7.00,0.308,1.50,5,45,0,29.92,59,50,0,0.650,0.325
B3_atmo_01,HORNADY 30 CAL 220 GR ELD-X,2600,7.00,0.308,1.50,0,90,5000,24.90,20,30,0,0.650,0.325
B3_atmo_02,HORNADY 6.5 MM 147 GR ELD MATCH,2700,8.00,0.264,1.50,0,90,10000,20.58,10,20,0,0.697,0.351
B3_atmo_03,HORNADY 22 CAL 75 GR BTHP,2790,8.00,0.224,1.50,0,90,0,29.92,100,80,0,0.395,
B3_atmo_04,HORNADY 30 CAL 220 GR ELD-X,2600,7.00,0.308,1.50,0,90,0,31.00,30,20,0,0.650,0.325
B3_atmo_05,HORNADY 6.5 MM 147 GR ELD MATCH,2700,8.00,0.264,1.50,0,90,3000,26.80,40,60,0,0.697,0.351
B3_atmo_06,HORNADY 22 CAL 75 GR BTHP,2790,8.00,0.224,1.50,0,90,7000,22.90,15,25,0,0.395,
B3_atmo_07,HORNADY 30 CAL 220 GR ELD-X,2600,7.00,0.308,1.50,0,90,0,28.50,90,90,0,0.650,0.325
B3_atmo_08,HORNADY 6.5 MM 147 GR ELD MATCH,2700,8.00,0.264,1.50,0,90,2000,27.80,75,70,0,0.697,0.351
B3_atmo_09,HORNADY 22 CAL 75 GR BTHP,2790,8.00,0.224,1.50,0,90,8000,22.00,0,10,0,0.395,
B3_atmo_10,HORNADY 30 CAL 220 GR ELD-X,2600,7.00,0.308,1.50,0,90,12000,19.00,-10,15,0,0.650,0.325
B4_angle_01,HORNADY 30 CAL 220 GR ELD-X,2600,7.00,0.308,1.50,0,90,0,29.92,59,50,10,0.650,0.325
B4_angle_02,HORNADY 6.5 MM 147 GR ELD MATCH,2700,8.00,0.264,1.50,0,90,0,29.92,59,50,20,0.697,0.351
B4_angle_03,HORNADY 22 CAL 75 GR BTHP,2790,8.00,0.224,1.50,0,90,0,29.92,59,50,30,0.395,
B4_angle_04,HORNADY 30 CAL 220 GR ELD-X,2600,7.00,0.308,1.50,0,90,0,29.92,59,50,45,0.650,0.325
B4_angle_05,HORNADY 6.5 MM 147 GR ELD MATCH,2700,8.00,0.264,1.50,0,90,0,29.92,59,50,-15,0.697,0.351
B4_angle_06,HORNADY 22 CAL 75 GR BTHP,2790,8.00,0.224,1.50,0,90,0,29.92,59,50,-30,0.395,
B4_angle_07,HORNADY 30 CAL 220 GR ELD-X,2600,7.00,0.308,1.50,0,90,0,29.92,59,50,60,0.650,0.325
B4_angle_08,HORNADY 6.5 MM 147 GR ELD MATCH,2700,8.00,0.264,1.50,0,90,0,29.92,59,50,-45,0.697,0.351
B5_atmo_angle_01,HORNADY 30 CAL 220 GR ELD-X,2600,7.00,0.308,1.50,0,90,5000,24.90,20,30,20,0.650,0.325
B5_atmo_angle_02,HORNADY 6.5 MM 147 GR ELD MATCH,2700,8.00,0.264,1.50,0,90,10000,20.58,10,20,30,0.697,0.351
B5_atmo_angle_03,HORNADY 22 CAL 75 GR BTHP,2790,8.00,0.224,1.50,0,90,8000,22.00,0,10,45,0.395,
B5_atmo_angle_04,HORNADY 30 CAL 220 GR ELD-X,2600,7.00,0.308,1.50,0,90,3000,26.80,90,80,15,0.650,0.325
B5_atmo_angle_05,HORNADY 6.5 MM 147 GR ELD MATCH,2700,8.00,0.264,1.50,0,90,7000,22.90,15,25,-20,0.697,0.351
B5_atmo_angle_06,HORNADY 22 CAL 75 GR BTHP,2790,8.00,0.224,1.50,0,90,12000,19.00,-10,15,30,0.395,
B5_atmo_angle_07,HORNADY 30 CAL 220 GR ELD-X,2600,7.00,0.308,1.50,0,90,2000,27.80,75,70,-30,0.650,0.325
